prefcode,n03_007,cityname,building_count,building_types,avg_height,max_height,avg_levels,max_levels,total_building_area_ha,avg_building_area_ha,max_building_area_ha,height_count,levels_count,min_height_count,underground_count,ele_count,date_count,source_count,name_count,editor_count,prefecture_area_ha,building_coverage_percent
23,23801,名古屋市熱田区,1380610,22,11.14,55.9,3.33,14.0,16660.6493,0.0121,3.1407,30170,21350,0,0,30100,0,92400,9240,50,91832.0,18.14
1,01700,浦幌町,1370804,7,,,,,22906.7607,0.0167,0.8957,0,0,0,0,0,0,0,5238,15,147751.0,15.5
29,29453,大和郡山市,1361724,19,,,2.13,4.0,16164.1272,0.0119,3.7698,0,585,0,39,0,78,18564,4329,46,67238.0,24.04
14,14402,川崎市幸区,1361376,22,95.47,158.4,4.87,47.0,14727.4746,0.0108,1.3579,406,10788,0,58,0,0,462724,16298,58,25393.0,58.0
12,12801,茂原市,1359540,25,,,2.33,8.0,14723.1215,0.0108,5.0513,0,1080,0,0,0,0,2220,16620,47,36816.0,39.99
13,13808,足立区,1358265,26,24.95,110.0,4.32,30.0,30109.0596,0.0222,2.2319,1311,130134,0,0,0,4002,218592,44643,150,22553.0,133.5
1,01700,南幌町,1343838,16,26.0,26.0,1.82,6.0,16522.0911,0.0123,0.916,194,8730,0,0,0,0,13580,9312,25,147751.0,11.18
12,12801,流山市,1342860,28,,,2.97,11.0,21176.4503,0.0158,5.9061,0,14760,0,0,0,300,13800,21300,87,36816.0,57.52
47,47801,宮古島市,1341102,25,30.0,30.0,2.94,11.0,24674.3884,0.0184,4.8634,42,756,0,0,0,0,84,4494,264,33440.0,73.79
11,11465,毛呂山町,1312128,23,7.9,14.8,1.75,7.0,12248.8572,0.0093,0.8767,144,2016,0,0,0,0,1213200,5256,18,57789.0,21.2
13,13808,墨田区,1308999,30,32.27,634.0,4.89,31.0,17023.6007,0.013,2.4255,3933,38916,0,69,0,276,425730,63687,133,22553.0,75.48
11,11465,戸田市,1306872,19,2.0,2.0,2.19,6.0,20031.8617,0.0153,2.7354,72,1872,0,0,0,0,22968,5688,63,57789.0,34.66
13,13808,清瀬市,1306377,17,7.0,62.0,3.93,20.0,13244.5377,0.0101,1.1854,12282,5175,0,1035,12213,0,4554,9315,33,22553.0,58.73
26,26465,京都市上京区,1302552,40,6.21,14.64,3.99,11.0,9065.6236,0.007,0.7998,108,18252,0,108,0,360,256428,17388,119,61640.0,14.71
1,01700,小清水町,1299412,15,,,1.4,2.0,23514.2114,0.0181,0.5695,0,1940,0,0,0,0,559496,7760,11,147751.0,15.91
1,01700,斜里町,1295920,24,,,2.18,5.0,20051.8705,0.0155,2.6006,0,10864,0,0,0,0,1222006,32398,38,147751.0,13.57
1,01700,上士幌町,1289518,15,,,1.0,1.0,27485.5477,0.0213,1.4767,0,776,0,0,0,0,699564,9700,19,147751.0,18.6
19,19443,甲府市,1288467,26,,,2.28,12.0,15339.9646,0.0119,1.1714,0,1917,0,0,0,0,134757,10530,67,60248.0,25.46
27,27383,大阪市北区,1282536,39,108.05,200.0,7.6,56.0,21863.9026,0.017,2.7038,5256,74880,0,1008,72,504,1143288,153504,119,10963.0,199.43
22,22461,伊豆の国市,1281185,17,,,1.09,11.0,15345.6985,0.012,1.6633,0,230609,0,0,0,0,628187,1591,28,107405.0,14.29
27,27383,大阪市中央区,1278720,37,82.2,169.0,7.49,54.0,23393.99,0.0183,1.5176,7200,124200,0,1368,0,792,1184832,119448,146,10963.0,213.39
43,43531,熊本市中央区,1272922,33,36.07,60.0,2.91,15.0,20145.2468,0.0158,1.2273,196,3430,0,0,0,49,284641,18767,244,68382.0,29.46
26,26465,京都市南区,1261296,35,28.63,55.0,3.61,21.0,13711.691,0.0109,3.9571,864,12024,0,0,180,360,83700,11664,82,61640.0,22.24
4,04606,名取市,1245543,29,8.0,8.0,1.37,14.0,17816.3903,0.0143,2.5714,39,64350,0,0,0,39,18798,9087,184,80500.0,22.13
1,01700,長万部町,1243734,13,6.5,10.0,2.27,3.0,14131.6462,0.0114,0.5961,388,2134,0,0,194,194,25608,8536,26,147751.0,9.56
